time_stamp,avg_hr
Sun Nov 06 2022 19:59:00 GMT+0100 (Central European Standard Time),85
Sun Nov 06 2022 20:59:00 GMT+0100 (Central European Standard Time),80
Sun Nov 06 2022 21:59:00 GMT+0100 (Central European Standard Time),75
Sun Nov 06 2022 22:58:00 GMT+0100 (Central European Standard Time),72
Sun Nov 06 2022 23:55:00 GMT+0100 (Central European Standard Time),71
Mon Nov 07 2022 00:58:00 GMT+0100 (Central European Standard Time),67
Mon Nov 07 2022 01:59:00 GMT+0100 (Central European Standard Time),66
Mon Nov 07 2022 02:59:00 GMT+0100 (Central European Standard Time),65
Mon Nov 07 2022 03:58:00 GMT+0100 (Central European Standard Time),63
Mon Nov 07 2022 04:59:00 GMT+0100 (Central European Standard Time),62
Mon Nov 07 2022 05:55:00 GMT+0100 (Central European Standard Time),63
Mon Nov 07 2022 06:59:00 GMT+0100 (Central European Standard Time),70
Mon Nov 07 2022 07:59:00 GMT+0100 (Central European Standard Time),76
Mon Nov 07 2022 08:59:00 GMT+0100 (Central European Standard Time),73
Mon Nov 07 2022 09:59:00 GMT+0100 (Central European Standard Time),70
Mon Nov 07 2022 10:59:00 GMT+0100 (Central European Standard Time),69
Mon Nov 07 2022 11:59:00 GMT+0100 (Central European Standard Time),67
Mon Nov 07 2022 12:59:00 GMT+0100 (Central European Standard Time),101
Mon Nov 07 2022 13:59:00 GMT+0100 (Central European Standard Time),79
Mon Nov 07 2022 14:59:00 GMT+0100 (Central European Standard Time),74
Mon Nov 07 2022 15:59:00 GMT+0100 (Central European Standard Time),73
Mon Nov 07 2022 16:59:00 GMT+0100 (Central European Standard Time),71
Mon Nov 07 2022 17:59:00 GMT+0100 (Central European Standard Time),73
Mon Nov 07 2022 18:59:00 GMT+0100 (Central European Standard Time),100
Mon Nov 07 2022 19:59:00 GMT+0100 (Central European Standard Time),87
Mon Nov 07 2022 20:59:00 GMT+0100 (Central European Standard Time),75
Mon Nov 07 2022 21:58:00 GMT+0100 (Central European Standard Time),85
Mon Nov 07 2022 22:59:00 GMT+0100 (Central European Standard Time),78
Mon Nov 07 2022 23:59:59 GMT+0100 (Central European Standard Time),77
Tue Nov 08 2022 00:56:00 GMT+0100 (Central European Standard Time),66
Tue Nov 08 2022 01:55:00 GMT+0100 (Central European Standard Time),64
Tue Nov 08 2022 02:59:00 GMT+0100 (Central European Standard Time),63
Tue Nov 08 2022 03:59:00 GMT+0100 (Central European Standard Time),62
Tue Nov 08 2022 04:46:00 GMT+0100 (Central European Standard Time),61
Tue Nov 08 2022 05:46:00 GMT+0100 (Central European Standard Time),61
Tue Nov 08 2022 06:46:00 GMT+0100 (Central European Standard Time),65
Tue Nov 08 2022 07:46:00 GMT+0100 (Central European Standard Time),70
Tue Nov 08 2022 08:59:00 GMT+0100 (Central European Standard Time),75
Tue Nov 08 2022 09:58:00 GMT+0100 (Central European Standard Time),70
Tue Nov 08 2022 10:59:00 GMT+0100 (Central European Standard Time),73
Tue Nov 08 2022 11:59:00 GMT+0100 (Central European Standard Time),65
