time_stamp,avg_hr
Sat Nov 11 2023 00:58:00 GMT+0100 (Central European Standard Time),59
Sat Nov 11 2023 01:59:00 GMT+0100 (Central European Standard Time),60
Sat Nov 11 2023 02:59:00 GMT+0100 (Central European Standard Time),60
Sat Nov 11 2023 03:59:00 GMT+0100 (Central European Standard Time),63
Sat Nov 11 2023 04:58:00 GMT+0100 (Central European Standard Time),65
Sat Nov 11 2023 05:59:00 GMT+0100 (Central European Standard Time),80
Sat Nov 11 2023 06:59:00 GMT+0100 (Central European Standard Time),86
Sat Nov 11 2023 07:59:00 GMT+0100 (Central European Standard Time),78
Sat Nov 11 2023 08:59:00 GMT+0100 (Central European Standard Time),79
Sat Nov 11 2023 09:59:00 GMT+0100 (Central European Standard Time),90
Sat Nov 11 2023 10:59:00 GMT+0100 (Central European Standard Time),87
Sat Nov 11 2023 11:59:00 GMT+0100 (Central European Standard Time),83
Sat Nov 11 2023 12:59:00 GMT+0100 (Central European Standard Time),93
Sat Nov 11 2023 13:59:00 GMT+0100 (Central European Standard Time),93
Sat Nov 11 2023 14:59:00 GMT+0100 (Central European Standard Time),97
Sat Nov 11 2023 15:59:00 GMT+0100 (Central European Standard Time),90
Sat Nov 11 2023 16:59:00 GMT+0100 (Central European Standard Time),84
Sat Nov 11 2023 17:59:00 GMT+0100 (Central European Standard Time),82
Sat Nov 11 2023 18:59:00 GMT+0100 (Central European Standard Time),93
Sat Nov 11 2023 19:59:00 GMT+0100 (Central European Standard Time),75
Sat Nov 11 2023 20:59:00 GMT+0100 (Central European Standard Time),71
Sat Nov 11 2023 21:59:00 GMT+0100 (Central European Standard Time),82
Sat Nov 11 2023 22:59:00 GMT+0100 (Central European Standard Time),72
Sat Nov 11 2023 23:59:59 GMT+0100 (Central European Standard Time),65
Sun Nov 12 2023 00:58:00 GMT+0100 (Central European Standard Time),65
Sun Nov 12 2023 01:59:00 GMT+0100 (Central European Standard Time),63
Sun Nov 12 2023 02:57:00 GMT+0100 (Central European Standard Time),61
Sun Nov 12 2023 03:57:00 GMT+0100 (Central European Standard Time),59
Sun Nov 12 2023 04:59:00 GMT+0100 (Central European Standard Time),61
Sun Nov 12 2023 05:57:00 GMT+0100 (Central European Standard Time),63
Sun Nov 12 2023 06:58:00 GMT+0100 (Central European Standard Time),63
Sun Nov 12 2023 07:59:00 GMT+0100 (Central European Standard Time),69
Sun Nov 12 2023 08:59:00 GMT+0100 (Central European Standard Time),72
Sun Nov 12 2023 09:59:00 GMT+0100 (Central European Standard Time),75
Sun Nov 12 2023 10:59:00 GMT+0100 (Central European Standard Time),78
